1731474948.730818 server started (38312): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1731474948.730848 on Darwin 24.0.0 Darwin Kernel Version 24.0.0: Tue Sep 24 23:37:13 PDT 2024; root:xnu-11215.1.12~1/RELEASE_ARM64_T8112
1731474948.730856 using libevent 2.1.12-stable select
1731474948.730867 using utf8proc 2.9.0
1731474948.730874 using ncurses 6.5 20240427
1731474948.731043 input_key_build: 0x10e003 (PasteStart) is \033[200~
1731474948.731050 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1731474948.731109 input_key_build: 0x10e195 (F1) is \033OP
1731474948.731115 input_key_build: 0x10e196 (F2) is \033OQ
1731474948.731120 input_key_build: 0x10e197 (F3) is \033OR
1731474948.731126 input_key_build: 0x10e198 (F4) is \033OS
1731474948.731131 input_key_build: 0x10e199 (F5) is \033[15~
1731474948.731136 input_key_build: 0x10e19a (F6) is \033[17~
1731474948.731140 input_key_build: 0x10e19b (F7) is \033[18~
1731474948.731145 input_key_build: 0x10e19c (F8) is \033[19~
1731474948.731152 input_key_build: 0x10e19d (F9) is \033[20~
1731474948.731157 input_key_build: 0x10e19e (F10) is \033[21~
1731474948.731163 input_key_build: 0x10e19f (F11) is \033[23~
1731474948.731170 input_key_build: 0x10e1a0 (F12) is \033[24~
1731474948.731175 input_key_build: 0x10e1a1 (IC) is \033[2~
1731474948.731180 input_key_build: 0x10e1a2 (DC) is \033[3~
1731474948.731185 input_key_build: 0x10e1a3 (Home) is \033[1~
1731474948.731189 input_key_build: 0x10e1a4 (End) is \033[4~
1731474948.731194 input_key_build: 0x10e1a5 (NPage) is \033[6~
1731474948.731199 input_key_build: 0x10e1a6 (PPage) is \033[5~
1731474948.731203 input_key_build: 0x10e1a7 (BTab) is \033[Z
1731474948.731210 input_key_build: 0x10e1a8 (Up) is \033[A
1731474948.731215 input_key_build: 0x10e1a9 (Down) is \033[B
1731474948.731219 input_key_build: 0x10e1aa (Left) is \033[D
1731474948.731224 input_key_build: 0x10e1ab (Right) is \033[C
1731474948.731229 input_key_build: 0x10e1ac (KP/) is /
1731474948.731233 input_key_build: 0x10e1ad (KP*) is *
1731474948.731238 input_key_build: 0x10e1ae (KP-) is -
1731474948.731244 input_key_build: 0x10e1af (KP7) is 7
1731474948.731250 input_key_build: 0x10e1b0 (KP8) is 8
1731474948.731254 input_key_build: 0x10e1b1 (KP9) is 9
